*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
TR10011,Shake 'n Go! Disney/Pixar Cars 2 - Mater,,16,200,15% GST on Income,"Shake ‘n Go “Cars” Racers put the control of speed and power into kids’ hands. Kids can act out their favorite scenes from the movie with their favorite “Cars 2” character. The vehicle will have its own specific engine sounds, phrases or both that will be activated as kids shake the cars to “rev” them up and then watch them go.",20,200,15% GST on Income,,
TR10012,Shake 'n Go! Disney/Pixar Cars 2 - Lightning McQueen,,16,200,15% GST on Income,"Shake ‘n Go “Cars” Racers put the control of speed and power into kids’ hands. Kids can act out their favorite scenes from the movie with their favorite “Cars 2” character. The vehicle will have its own specific engine sounds, phrases or both that will be activated as kids shake the cars to “rev” them up and then watch them go.",20,200,15% GST on Income,,
TR10013,Shake 'n Go! Disney/Pixar Cars 2 - Finn McMissile,,16,200,15% GST on Income,"Shake ‘n Go “Cars” Racers put the control of speed and power into kids’ hands. Kids can act out their favorite scenes from the movie with their favorite “Cars 2” character. The vehicle will have its own specific engine sounds, phrases or both that will be activated as kids shake the cars to “rev” them up and then watch them go",20,200,15% GST on Income,,
TR10014,Cars 2 Siddeley the Spy Jet Transporter,,23,200,15% GST on Income,"Cars 2 Siddeley the Spy Jet Transporter: Inspired by the new hit Disney/Pixar film, Cars 2. Fasten your seatbelts and prepare for lift off! The thrills of Cars 2 take flight with a super cool Spy Jet that can hold up to three 1:55 scale die-cast vehicles and “secret” surprises inside. Twist the jet’s turbine to reel in the tow hook, roll it along, or prepare to aim and fire the projectile missiles. Kids can home in on hours of fun with Siddeley The Spy Jet!",26,200,15% GST on Income,,
TR10015,Cars 2 R/C Everett Transporter Jet,,34,200,15% GST on Income,Stores 5 Cars & Tilts for Takeoff! ,35,200,15% GST on Income,,
TR10016,Cars 2 Cars Super Sub Finn Mcmis,,36,200,15% GST on Income,"Cars 2 Spy Shifters Assortment: Inspired by the new hit Disney/Pixar film, Cars 2. There’s more than meets the eye with these thrilling 1:27 scale Cars 2 Spy Shifters. Press a button and instantly reveal top secret features like missiles that pop out, tires that flip up and much more! Collect them all! Kids will love reenacting their favorite scenes from the movie with the Cars 2 Spy Shifters Collection. ",42,200,15% GST on Income,,
TR10017,Cars 2 Finn Missile Firing Vehicle,,34,200,15% GST on Income,"Get ready to be blown away by Finn Mcmissile's hidden abilities. Disguised as a normal Car, Finn can quickly transform into spy mode with missile launching capabilities. Fire them remotely as he speaks some of your favorite movie lines, and then watch as he converts back to normal. It's the ultimate in Cars II spy technology. Fire on the fly with Finn Mcmissile! Ages 4+ Includes: 1 Missile Firing RC Car, 1 Remote, 8 Missiles, 2 Paper Minion Targets and 1 Instruction Sheet. Also, 3 AAA batteries required.",36,200,15% GST on Income,,
TR10018,Tomy Screwball Scramble Game,,22,200,15% GST on Income,Topsy-turvy race against the clock to maneuver through a crazy obstacle course! For 1 or more players.,25,200,15% GST on Income,,
TR10019,Tomica Mega Station Hypercity Set,,43.5,200,15% GST on Income,"Giant track layout with lights and sounds and a never before seen fully automated station. Watch as the cars travel up the ramp and stop to let the train go through! complete with rail road, pavement, train, station, convenience store, 2 cars and a Tomika figure. Requires 4 x C batteries (not supplied). For ages 4 years and over. By Tomy. A must have toy this Christmas! ",46,200,15% GST on Income,,
TR10020,Thomas the Train: TrackMaster Cranky and Flynn Save the Day Playset,,34.5,200,15% GST on Income,"Cranky's one of the most popular and important characters on the show - working at the docks, loading and unloading everything from cargo to engines. Now your child can act out all of this play at home with a 29"" tall Cranky the Crane. With Remote Control and 360 degrees of loading and unloading action Cranky also includes cargo, cargo car, docks, loading destination, and complete loop of track. What's more when a ""fire"" breaks out at the loading destination, Cranky even delivers a special crate with a brand new fire engine, Flynn - just like on the new Thomas & Friends DVD ""Charge of the Steam Brigade"". Flynn launches out of the crate and puts out the ""fire"".",36,200,15% GST on Income,,
